<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
SBER,60,20181120,100000,196.3500000,7533480
SBER,60,20181120,110000,195.1800000,9325200
SBER,60,20181120,120000,195.7600000,3202590
SBER,60,20181120,130000,196.5200000,3077870
SBER,60,20181120,140000,197.1500000,4119090
SBER,60,20181120,150000,196.7100000,2437380
SBER,60,20181120,160000,193.6000000,12788840
SBER,60,20181120,170000,193.2700000,9186600
SBER,60,20181120,180000,194.2100000,14671560
SBER,60,20181121,100000,194.5600000,12316170
SBER,60,20181121,110000,194.8400000,5865860
SBER,60,20181121,120000,194.9400000,4356180
SBER,60,20181121,130000,195.6000000,6736160
SBER,60,20181121,140000,196.3800000,4077990
SBER,60,20181121,150000,197.0500000,5287060
SBER,60,20181121,160000,196.9500000,3993530
SBER,60,20181121,170000,197.1400000,7022180
SBER,60,20181121,180000,197.5000000,8739450
SBER,60,20181122,100000,197.7200000,7460340
SBER,60,20181122,110000,196.5100000,8249170
SBER,60,20181122,120000,197.4100000,4620840
SBER,60,20181122,130000,199.1500000,10278740
SBER,60,20181122,140000,199.5500000,6550730
SBER,60,20181122,150000,199.3100000,2682340
SBER,60,20181122,160000,199.1400000,2023440
SBER,60,20181122,170000,198.7200000,4124990
SBER,60,20181122,180000,199.4000000,3699250
SBER,60,20181123,100000,198.3400000,6105680
SBER,60,20181123,110000,197.4000000,5569370
SBER,60,20181123,120000,197.6600000,2859220
SBER,60,20181123,130000,196.1800000,7257710
SBER,60,20181123,140000,196.4900000,4970680
SBER,60,20181123,150000,197.0200000,3048530
SBER,60,20181123,160000,195.2300000,9733100
SBER,60,20181123,170000,196.1800000,4452270
SBER,60,20181123,180000,197.3000000,6860940
SBER,60,20181126,100000,193.6200000,16269930
SBER,60,20181126,110000,192.6500000,16836090
SBER,60,20181126,120000,192.9400000,7352980
SBER,60,20181126,130000,191.5100000,12866620
SBER,60,20181126,140000,191.6900000,6878250
SBER,60,20181126,150000,190.9000000,6948750
SBER,60,20181126,160000,190.5100000,7506970
SBER,60,20181126,170000,188.1500000,31877570
SBER,60,20181126,180000,188.5000000,10680520
SBER,60,20181127,100000,191.7600000,15432640
SBER,60,20181127,110000,189.6500000,12837500
SBER,60,20181127,120000,190.0600000,9087690
SBER,60,20181127,130000,190.9400000,5640290
SBER,60,20181127,140000,189.7500000,10082810
SBER,60,20181127,150000,188.8600000,4637200
SBER,60,20181127,160000,190.8600000,10374650
SBER,60,20181127,170000,189.8600000,11410280
SBER,60,20181127,180000,191.0300000,8175350
SBER,60,20181128,100000,192.6200000,7172290
SBER,60,20181128,110000,191.7200000,8872450
SBER,60,20181128,120000,190.7800000,6180090
SBER,60,20181128,130000,190.6000000,7004710
SBER,60,20181128,140000,191.2600000,4306940
SBER,60,20181128,150000,191.8000000,6764700
SBER,60,20181128,160000,190.5300000,7576360
SBER,60,20181128,170000,191.0500000,5176360
SBER,60,20181128,180000,190.2000000,7158710
SBER,60,20181129,100000,191.4900000,8192300
SBER,60,20181129,110000,193.2400000,15265350
SBER,60,20181129,120000,192.3000000,6058710
SBER,60,20181129,130000,193.0800000,3043490
SBER,60,20181129,140000,192.9800000,4256590
SBER,60,20181129,150000,194.5300000,14991730
SBER,60,20181129,160000,195.4300000,9953710
SBER,60,20181129,170000,195.6600000,12053290
SBER,60,20181129,180000,195.7600000,9246970
SBER,60,20181130,100000,193.1900000,11022440
SBER,60,20181130,110000,192.8100000,9742140
SBER,60,20181130,120000,191.4600000,9306970
SBER,60,20181130,130000,192.1400000,5150300
SBER,60,20181130,140000,192.1800000,2731570
SBER,60,20181130,150000,192.4500000,2768200
SBER,60,20181130,160000,192.5400000,5509300
SBER,60,20181130,170000,192.4200000,6084580
SBER,60,20181130,180000,194.0000000,14902660
SBER,60,20181203,100000,198.7100000,16529050
SBER,60,20181203,110000,200.3200000,15226030
SBER,60,20181203,120000,200.5800000,7036830
SBER,60,20181203,130000,201.2300000,9719280
SBER,60,20181203,140000,201.0800000,5870020
SBER,60,20181203,150000,201.3800000,5102750
SBER,60,20181203,160000,201.4700000,6556550
SBER,60,20181203,170000,200.7300000,6577590
SBER,60,20181203,180000,200.3000000,8752900
SBER,60,20181204,100000,199.0000000,9237670
SBER,60,20181204,110000,199.8400000,8841680
SBER,60,20181204,120000,199.1200000,7055490
SBER,60,20181204,130000,198.3000000,4163800
SBER,60,20181204,140000,197.8600000,5415330
SBER,60,20181204,150000,197.9500000,3119740
SBER,60,20181204,160000,197.5500000,6897850
SBER,60,20181204,170000,197.2500000,5260410
SBER,60,20181204,180000,199.0000000,7838640
SBER,60,20181205,100000,195.4500000,9071980
SBER,60,20181205,110000,195.0500000,13806540
SBER,60,20181205,120000,195.1600000,3078210
SBER,60,20181205,130000,196.1500000,5967640
